username	followers	followed_by
ludacris	11218709	pharrell
ludacris	11218709	kevinhart4real
ludacris	11218709	pitbull
ludacris	11218709	enriqueiglesias
ludacris	11218709	kdtrey5
ludacris	11218709	davidguetta
ludacris	11218709	rickygervais
ludacris	11218709	ryanseacrest
ludacris	11218709	parishilton
ludacris	11218709	mileycyrus
ludacris	11218709	carlyraejepsen
ludacris	11218709	jessicaalba
ludacris	11218709	snoopdogg
ludacris	11218709	iamwill
ludacris	11218709	aplusk
ludacris	11218709	jimmyfallon
ludacris	11218709	justinbieber
eminem	20125372	usher
eminem	20125372	shaq
eminem	20125372	lindsaylohan
eminem	20125372	pitbull
eminem	20125372	drake
eminem	20125372	johncena
eminem	20125372	arianagrande
eminem	20125372	zaynmalik
eminem	20125372	waynerooney
eminem	20125372	rickygervais
eminem	20125372	pink
eminem	20125372	50cent
eminem	20125372	parishilton
eminem	20125372	snoopdogg
eminem	20125372	rihanna
eminem	20125372	iamwill
eminem	20125372	jimmyfallon
eminem	20125372	justinbieber
eminem	20125372	bigsean
britneyspears	44880225	pitbull
britneyspears	44880225	drake
britneyspears	44880225	arianagrande
britneyspears	44880225	niallofficial
britneyspears	44880225	kyliejenner
britneyspears	44880225	ryanseacrest
britneyspears	44880225	avrillavigne
britneyspears	44880225	parishilton
britneyspears	44880225	louis_tomlinson
britneyspears	44880225	snoopdogg
britneyspears	44880225	rihanna
britneyspears	44880225	iamwill
britneyspears	44880225	jimmyfallon
britneyspears	44880225	real_liam_payne
britneyspears	44880225	lindsaylohan
britneyspears	44880225	taylorswift13
britneyspears	44880225	nickiminaj
britneyspears	44880225	katyperry
britneyspears	44880225	simoncowell
britneyspears	44880225	zaynmalik
britneyspears	44880225	ashleytisdale
britneyspears	44880225	mileycyrus
britneyspears	44880225	ladygaga
britneyspears	44880225	selenagomez
britneyspears	44880225	carlyraejepsen
britneyspears	44880225	jessicaalba
britneyspears	44880225	ricky_martin
britneyspears	44880225	ddlovato
britneyspears	44880225	jlo
britneyspears	44880225	justinbieber
parishilton	13627260	edsheeran
parishilton	13627260	charliesheen
parishilton	13627260	wizkhalifa
parishilton	13627260	nickiminaj
parishilton	13627260	arianagrande
parishilton	13627260	britneyspears
parishilton	13627260	ryanseacrest
parishilton	13627260	ashleytisdale
parishilton	13627260	ladygaga
parishilton	13627260	sethmacfarlane
parishilton	13627260	carlyraejepsen
parishilton	13627260	snoopdogg
parishilton	13627260	iamwill
parishilton	13627260	ddlovato
parishilton	13627260	jlo
parishilton	13627260	real_liam_payne
louis_tomlinson	22023449	edsheeran
louis_tomlinson	22023449	carlyraejepsen
louis_tomlinson	22023449	harry_styles
louis_tomlinson	22023449	joejonas
louis_tomlinson	22023449	nickjonas
